agency_type,product_name,gender,duration,destination,net_sales_SGD,age,claim,age_group
Travel Agency,Cancellation Plan,Not Specified,12,JAPAN,44.0,44,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,11,SRI LANKA,27.0,36,0,Adult Travelers
Airlines,Basic Plan,M,22,"TAIWAN, PROVINCE OF CHINA",35.0,41,0,Adult Travelers
Airlines,Bronze Plan,M,12,SINGAPORE,94.0,37,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,MALAYSIA,17.0,64,0,Senior Citizen Travelers
Airlines,Basic Plan,M,5,MALAYSIA,22.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,68,MYANMAR,10.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,11,CHINA,32.0,36,0,Adult Travelers
Airlines,24 Protect,M,9,MYANMAR,12.0,48,0,Adult Travelers
Airlines,Silver Plan,M,4,SINGAPORE,22.5,32,0,Adult Travelers
Airlines,Value Plan,M,7,AUSTRALIA,36.0,49,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,94,CHINA,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,CHINA,39.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,CHINA,25.0,36,0,Adult Travelers
Airlines,Basic Plan,M,6,INDONESIA,22.0,53,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,CAMBODIA,25.0,35,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,37,MALAYSIA,29.7,66,0,Senior Citizen Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,64,MALAYSIA,39.6,26,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,18,VIET NAM,30.0,36,0,Adult Travelers
Airlines,Basic Plan,M,29,THAILAND,22.0,53,0,Adult Travelers
Airlines,Value Plan,F,50,UNITED STATES,55.0,70,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,HONG KONG,44.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,92,"TAIWAN, PROVINCE OF CHINA",50.0,36,0,Adult Travelers
Airlines,Basic Plan,F,14,THAILAND,22.0,38,0,Adult Travelers
Airlines,Annual Gold Plan,M,364,SINGAPORE,389.35,49,1,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,14,"TAIWAN, PROVINCE OF CHINA",26.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,7,"KOREA, REPUBLIC OF",32.0,28,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,MALAYSIA,12.0,36,0,Adult Travelers
Airlines,Silver Plan,F,10,SINGAPORE,124.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,77,MALAYSIA,12.0,32,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,16,UNITED STATES,79.2,62,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,6,AUSTRALIA,68.0,36,0,Adult Travelers
Airlines,Silver Plan,F,14,SINGAPORE,29.5,37,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,UNITED STATES,62.0,23,0,Young Adult Travelers
Airlines,Value Plan,M,13,CHINA,58.0,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,38,"KOREA, REPUBLIC OF",20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,26,POLAND,22.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,MALAYSIA,29.7,43,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,20,ITALY,128.7,33,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,110,CAMBODIA,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,39,PHILIPPINES,27.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,26,CHINA,35.0,35,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,AUSTRALIA,99.0,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,AUSTRALIA,41.0,36,0,Adult Travelers
Travel Agency,Comprehensive Plan,M,123,MALAYSIA,29.0,22,0,Young Adult Travelers
Airlines,Ticket Protector,Not Specified,11,SINGAPORE,1.03,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,20,THAILAND,35.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,15,AUSTRALIA,79.2,49,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,SINGAPORE,13.0,28,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,10,ISRAEL,9.9,30,0,Young Adult Travelers
Airlines,Bronze Plan,M,2,SINGAPORE,11.5,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,15,INDONESIA,35.0,33,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,VIET NAM,26.0,36,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Silver,F,6,MALAYSIA,25.0,38,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,3,PORTUGAL,29.7,27,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,6,MALAYSIA,21.0,49,0,Adult Travelers
Travel Agency,Comprehensive Plan,F,58,MALAYSIA,29.0,70,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,19,SINGAPORE,10.0,40,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,55,UNITED STATES,89.1,60,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,56,UNITED STATES,89.1,28,0,Young Adult Travelers
Travel Agency,Individual Comprehensive Plan,M,364,SINGAPORE,97.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,INDIA,10.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,"TAIWAN, PROVINCE OF CHINA",24.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,1,CANADA,10.0,63,0,Senior Citizen Travelers
Airlines,Silver Plan,F,20,SINGAPORE,72.0,27,0,Young Adult Travelers
Airlines,Ticket Protector,Not Specified,100,SINGAPORE,1.35,48,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,57,UNITED STATES,19.8,31,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,31,AUSTRALIA,69.3,56,0,Adult Travelers
Airlines,Basic Plan,M,11,MYANMAR,18.0,32,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,12,CHINA,22.0,36,0,Adult Travelers
Airlines,Value Plan,M,45,UNITED STATES,96.0,20,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,146,UNITED KINGDOM,74.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,CHINA,22.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,35,HONG KONG,20.0,36,0,Adult Travelers
Travel Agency,Travel Cruise Protect,F,33,THAILAND,30.0,62,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,16,INDIA,60.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,INDONESIA,10.0,33,0,Adult Travelers
Airlines,Silver Plan,M,37,SINGAPORE,81.5,24,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,69,SWEDEN,73.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,6,MALAYSIA,20.0,69,0,Senior Citizen Travelers
Airlines,Basic Plan,M,2,MALAYSIA,18.0,30,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,"KOREA, REPUBLIC OF",49.5,37,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,16,SINGAPORE,21.35,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,40,ITALY,98.0,36,0,Adult Travelers
Airlines,Basic Plan,F,26,THAILAND,30.0,55,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,47,UNITED STATES,15.0,23,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,INDIA,16.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,26,PHILIPPINES,15.0,36,0,Adult Travelers
Airlines,Basic Plan,F,52,INDONESIA,22.0,51,0,Adult Travelers
Airlines,Bronze Plan,F,13,SINGAPORE,20.0,44,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,49,UNITED KINGDOM,118.8,27,1,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,105,POLAND,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,21,THAILAND,40.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,41,SINGAPORE,20.0,20,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,107,DENMARK,247.5,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,23,CHINA,42.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,9,SINGAPORE,23.5,21,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,CHINA,92.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,24,UNITED STATES,10.0,23,0,Young Adult Travelers
Airlines,Silver Plan,M,12,SINGAPORE,58.2,49,0,Adult Travelers
Airlines,Bronze Plan,M,28,SINGAPORE,53.0,30,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,19,TURKEY,32.0,36,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Silver,F,6,HONG KONG,25.0,59,0,Adult Travelers
Airlines,Basic Plan,F,50,"KOREA, REPUBLIC OF",35.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,49,SINGAPORE,55.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,78,NETHERLANDS,11.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,152,PHILIPPINES,10.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,UNITED ARAB EMIRATES,49.5,35,0,Adult Travelers
Airlines,Value Plan,M,34,AUSTRALIA,45.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,11,HONG KONG,10.0,26,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,96,UNITED STATES,112.0,52,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,1,UNITED KINGDOM,9.9,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,3,INDIA,13.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,64,SINGAPORE,25.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,28,SINGAPORE,56.5,27,0,Young Adult Travelers
Airlines,Bronze Plan,F,21,SINGAPORE,69.5,52,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,MALAYSIA,20.0,33,0,Adult Travelers
Airlines,Basic Plan,M,74,THAILAND,22.0,54,0,Adult Travelers
Travel Agency,Value Plan,M,106,DENMARK,75.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,SINGAPORE,23.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,18,CHINA,24.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,5,AUSTRALIA,29.7,29,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,119,AUSTRALIA,29.7,56,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,40,AUSTRALIA,99.0,40,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,30,GERMANY,112.0,34,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,PHILIPPINES,12.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,AUSTRALIA,38.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,45,UNITED STATES,20.0,64,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,30,CHINA,72.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,14,CHINA,24.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,16,JAPAN,27.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,UNITED KINGDOM,19.8,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,244,HONG KONG,23.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,"KOREA, REPUBLIC OF",11.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,23,INDONESIA,10.0,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,7,THAILAND,45.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,INDONESIA,19.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,201,THAILAND,32.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,66,AUSTRALIA,47.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,89,AUSTRALIA,148.5,31,0,Adult Travelers
Airlines,Basic Plan,F,3,PHILIPPINES,18.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,101,UNITED STATES,52.0,46,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,71,MALAYSIA,10.0,58,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,83,CHINA,28.0,36,0,Adult Travelers
Airlines,Basic Plan,F,62,CHINA,22.0,62,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,66,"KOREA, REPUBLIC OF",48.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,14,SINGAPORE,27.0,37,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,75,CHINA,71.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,14,HONG KONG,20.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,61,CAMBODIA,20.0,36,0,Adult Travelers
Airlines,Basic Plan,M,3,INDIA,22.0,26,0,Young Adult Travelers
Airlines,Basic Plan,M,10,THAILAND,22.0,69,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,7,HONG KONG,28.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,34,MALAYSIA,29.7,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,48,MYANMAR,10.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,127,"TAIWAN, PROVINCE OF CHINA",31.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,75,SINGAPORE,91.0,20,0,Young Adult Travelers
Airlines,Basic Plan,M,6,CHINA,26.0,49,0,Adult Travelers
Airlines,Basic Plan,F,126,PHILIPPINES,33.0,34,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,112,CHINA,23.0,35,0,Adult Travelers
Airlines,Basic Plan,M,26,CHINA,35.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,51,SINGAPORE,45.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,83,ITALY,67.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,16,MALAYSIA,33.0,36,0,Adult Travelers
Airlines,Basic Plan,M,96,MALAYSIA,22.0,53,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,2,SINGAPORE,37.0,38,0,Adult Travelers
Airlines,Basic Plan,M,19,CHINA,22.0,50,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,29,JAPAN,52.0,36,0,Adult Travelers
Airlines,Basic Plan,M,6,CHINA,22.0,70,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,6,THAILAND,16.0,57,0,Adult Travelers
Airlines,Basic Plan,F,59,CHINA,26.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,10,SWITZERLAND,80.0,36,0,Adult Travelers
Airlines,Silver Plan,F,7,SINGAPORE,47.5,44,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,7,UNITED STATES,9.9,43,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,3,UNITED STATES,79.0,61,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,MALAYSIA,40.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,THAILAND,25.0,36,0,Adult Travelers
Airlines,Basic Plan,M,39,MALAYSIA,18.0,62,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,34,SINGAPORE,40.0,35,0,Adult Travelers
Airlines,Basic Plan,M,5,THAILAND,18.0,41,0,Adult Travelers
Airlines,Annual Silver Plan,F,364,SINGAPORE,187.85,62,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,19,"TAIWAN, PROVINCE OF CHINA",22.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,99,AUSTRIA,76.0,35,0,Adult Travelers
Airlines,Bronze Plan,M,13,SINGAPORE,29.9,59,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,40,INDONESIA,25.0,21,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,10,INDIA,16.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,19,THAILAND,39.6,24,0,Young Adult Travelers
Travel Agency,Travel Cruise Protect,F,70,MALAYSIA,30.0,72,0,Senior Citizen Travelers
Airlines,Basic Plan,M,14,INDONESIA,33.0,23,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,12,CHINA,32.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,34,SINGAPORE,27.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,JAPAN,80.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,74,SINGAPORE,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,33,JAPAN,38.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,106,RUSSIAN FEDERATION,61.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,7,MALAYSIA,39.6,51,0,Adult Travelers
Airlines,Basic Plan,F,134,PHILIPPINES,37.0,43,0,Adult Travelers
Airlines,Basic Plan,M,28,MALAYSIA,30.0,28,0,Young Adult Travelers
Airlines,Basic Plan,F,80,PHILIPPINES,30.0,41,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,81,MALAYSIA,29.7,41,0,Adult Travelers
Airlines,Gold Plan,F,52,SINGAPORE,33.5,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,"KOREA, REPUBLIC OF",36.0,51,0,Adult Travelers
Airlines,Basic Plan,M,5,THAILAND,18.0,72,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,60,UNITED KINGDOM,98.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,42,UNITED STATES,20.0,21,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,80,ITALY,65.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,CAMBODIA,20.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,9,UNITED KINGDOM,49.5,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,77,"KOREA, REPUBLIC OF",57.0,36,0,Adult Travelers
Airlines,Value Plan,M,47,BRUNEI DARUSSALAM,15.0,33,0,Adult Travelers
Airlines,Bronze Plan,M,6,SINGAPORE,16.0,33,0,Adult Travelers
Airlines,Value Plan,M,4,BRUNEI DARUSSALAM,15.0,32,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,28,THAILAND,29.7,32,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,4,CAMBODIA,20.0,55,0,Adult Travelers
Travel Agency,Individual Comprehensive Plan,M,364,SINGAPORE,97.0,37,0,Adult Travelers
Airlines,Basic Plan,F,32,INDONESIA,37.0,32,0,Adult Travelers
Airlines,Value Plan,Not Specified,61,BRUNEI DARUSSALAM,15.0,45,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,INDONESIA,20.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,41,JAPAN,38.0,36,0,Adult Travelers
Airlines,Basic Plan,M,7,HONG KONG,26.0,69,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,56,SWITZERLAND,67.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,1,SINGAPORE,18.9,39,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,129,THAILAND,25.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,16,TURKEY,36.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,PHILIPPINES,16.0,36,0,Adult Travelers
Airlines,Value Plan,M,12,BRUNEI DARUSSALAM,15.0,22,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,8,INDIA,20.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,6,UNITED ARAB EMIRATES,20.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,CAMBODIA,18.0,36,0,Adult Travelers
Airlines,Basic Plan,M,4,THAILAND,22.0,59,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,SINGAPORE,14.0,52,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,MYANMAR,10.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,22,AUSTRALIA,89.1,53,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,45,GERMANY,118.8,45,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,99,JAPAN,49.5,44,0,Adult Travelers
Airlines,Bronze Plan,F,17,SINGAPORE,21.0,44,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,10,JAPAN,24.0,36,0,Adult Travelers
Airlines,Silver Plan,F,10,SINGAPORE,47.5,45,0,Adult Travelers
Travel Agency,Value Plan,M,9,INDONESIA,28.0,48,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,10,CAMBODIA,20.0,36,0,Adult Travelers
Airlines,Basic Plan,F,2,INDONESIA,18.0,26,0,Young Adult Travelers
Airlines,Silver Plan,M,14,SINGAPORE,62.0,45,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,19,INDIA,80.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,THAILAND,80.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,10,NETHERLANDS,112.0,36,0,Adult Travelers
Airlines,Gold Plan,M,64,SINGAPORE,142.5,20,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,THAILAND,39.6,33,0,Adult Travelers
Airlines,Bronze Plan,F,35,SINGAPORE,32.4,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,18,JAPAN,110.0,36,0,Adult Travelers
Airlines,Basic Plan,M,14,MYANMAR,22.0,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,15,PHILIPPINES,30.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,94,"KOREA, REPUBLIC OF",54.0,25,0,Young Adult Travelers
Airlines,Basic Plan,F,36,JAPAN,35.0,27,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,38,UNITED STATES,22.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,15,UNITED STATES,26.0,21,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,PHILIPPINES,44.0,36,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,28,SINGAPORE,6.94,48,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,31,FRANCE,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,122,PHILIPPINES,13.0,36,0,Adult Travelers
Travel Agency,Value Plan,M,260,INDONESIA,33.0,48,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Gold,M,36,AUSTRALIA,50.5,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,48,INDONESIA,10.0,36,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Platinum,M,17,CHINA,42.0,46,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,VIET NAM,12.0,50,0,Adult Travelers
Airlines,Bronze Plan,M,4,SINGAPORE,13.5,25,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,90,"KOREA, REPUBLIC OF",25.0,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,47,SINGAPORE,10.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,13,THAILAND,10.0,59,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,49,ICELAND,108.9,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,9,SINGAPORE,10.0,39,0,Adult Travelers
Airlines,Annual Silver Plan,M,365,SINGAPORE,216.0,39,1,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,11,HONG KONG,37.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,36,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,297,AUSTRALIA,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,4,INDIA,51.0,36,0,Adult Travelers
Airlines,Basic Plan,M,102,CHINA,40.0,39,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,30,AUSTRALIA,69.3,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,314,"KOREA, REPUBLIC OF",47.0,36,0,Adult Travelers
Airlines,Basic Plan,F,36,MALAYSIA,18.0,48,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,1,GERMANY,30.0,36,0,Adult Travelers
Airlines,Basic Plan,M,15,CHINA,35.0,54,0,Adult Travelers
Airlines,Silver Plan,F,21,SINGAPORE,81.5,39,0,Adult Travelers
Airlines,Silver Plan,M,10,SINGAPORE,29.5,45,1,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,TURKEY,49.5,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,24,THAILAND,15.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,272,UNITED KINGDOM,80.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,27,PHILIPPINES,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,79,"KOREA, REPUBLIC OF",19.0,27,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,66,THAILAND,24.0,36,0,Adult Travelers
